"market","fiscal_year","freight_pct","other_cost_pct"
"Australia","2018","0.0188000000","0.0050000000"
"Austria","2018","0.0272000000","0.0053000000"
"Bangladesh","2018","0.0219000000","0.0058000000"
"Brazil","2018","0.0239000000","0.0033000000"
"Canada","2018","0.0264000000","0.0054000000"
"Chile","2018","0.0267000000","0.0022000000"
"China","2018","0.0204000000","0.0043000000"
"Columbia","2018","0.0216000000","0.0028000000"
"France","2018","0.0190000000","0.0038000000"
"Germany","2018","0.0301000000","0.0061000000"
"India","2018","0.0244000000","0.0026000000"
"Indonesia","2018","0.0190000000","0.0042000000"
"Italy","2018","0.0214000000","0.0033000000"
"Japan","2018","0.0252000000","0.0042000000"
"Mexico","2018","0.0264000000","0.0027000000"
"Netherlands","2018","0.0255000000","0.0033000000"
"Newzealand","2018","0.0228000000","0.0060000000"
"Norway","2018","0.0260000000","0.0026000000"
"Pakistan","2018","0.0241000000","0.0058000000"
"Philiphines","2018","0.0199000000","0.0027000000"
"Poland","2018","0.0211000000","0.0036000000"
"Portugal","2018","0.0264000000","0.0029000000"
"South Korea","2018","0.0293000000","0.0043000000"
"Spain","2018","0.0189000000","0.0052000000"
"Sweden","2018","0.0218000000","0.0023000000"
"United Kingdom","2018","0.0224000000","0.0051000000"
"USA","2018","0.0279000000","0.0027000000"
"Australia","2019","0.0304000000","0.0048000000"
"Austria","2019","0.0292000000","0.0050000000"
"Bangladesh","2019","0.0249000000","0.0053000000"
"Brazil","2019","0.0193000000","0.0046000000"
"Canada","2019","0.0217000000","0.0030000000"
"Chile","2019","0.0223000000","0.0061000000"
"China","2019","0.0216000000","0.0031000000"
"Columbia","2019","0.0256000000","0.0032000000"
"France","2019","0.0284000000","0.0055000000"
"Germany","2019","0.0249000000","0.0043000000"
"India","2019","0.0219000000","0.0057000000"
"Indonesia","2019","0.0187000000","0.0052000000"
"Italy","2019","0.0244000000","0.0059000000"
"Japan","2019","0.0287000000","0.0045000000"
"Mexico","2019","0.0285000000","0.0044000000"
"Netherlands","2019","0.0252000000","0.0027000000"
"Newzealand","2019","0.0287000000","0.0051000000"
"Norway","2019","0.0218000000","0.0040000000"
"Pakistan","2019","0.0227000000","0.0024000000"
"Philiphines","2019","0.0287000000","0.0027000000"
"Poland","2019","0.0206000000","0.0056000000"
"Portugal","2019","0.0287000000","0.0032000000"
"South Korea","2019","0.0214000000","0.0036000000"
"Spain","2019","0.0305000000","0.0047000000"
"Sweden","2019","0.0312000000","0.0045000000"
"United Kingdom","2019","0.0190000000","0.0041000000"
"USA","2019","0.0263000000","0.0039000000"
"Australia","2020","0.0254000000","0.0043000000"
"Austria","2020","0.0294000000","0.0034000000"
"Bangladesh","2020","0.0258000000","0.0035000000"
"Brazil","2020","0.0298000000","0.0046000000"
"Canada","2020","0.0273000000","0.0055000000"
"Chile","2020","0.0219000000","0.0037000000"
"China","2020","0.0311000000","0.0044000000"
"Columbia","2020","0.0293000000","0.0025000000"
"France","2020","0.0235000000","0.0060000000"
"Germany","2020","0.0226000000","0.0060000000"
"India","2020","0.0309000000","0.0029000000"
"Indonesia","2020","0.0195000000","0.0023000000"
"Italy","2020","0.0221000000","0.0027000000"
"Japan","2020","0.0294000000","0.0051000000"
"Mexico","2020","0.0262000000","0.0056000000"
"Netherlands","2020","0.0310000000","0.0028000000"
"Newzealand","2020","0.0259000000","0.0045000000"
"Norway","2020","0.0311000000","0.0034000000"
"Pakistan","2020","0.0276000000","0.0023000000"
"Philiphines","2020","0.0285000000","0.0043000000"
"Poland","2020","0.0232000000","0.0036000000"
"Portugal","2020","0.0217000000","0.0040000000"
"South Korea","2020","0.0210000000","0.0037000000"
"Spain","2020","0.0222000000","0.0055000000"
"Sweden","2020","0.0272000000","0.0055000000"
"United Kingdom","2020","0.0217000000","0.0048000000"
"USA","2020","0.0270000000","0.0052000000"
"Australia","2021","0.0254000000","0.0043000000"
"Austria","2021","0.0294000000","0.0034000000"
"Bangladesh","2021","0.0258000000","0.0035000000"
"Brazil","2021","0.0298000000","0.0046000000"
"Canada","2021","0.0273000000","0.0055000000"
"Chile","2021","0.0219000000","0.0037000000"
"China","2021","0.0311000000","0.0044000000"
"Columbia","2021","0.0293000000","0.0025000000"
"France","2021","0.0235000000","0.0060000000"
"Germany","2021","0.0226000000","0.0060000000"
"India","2021","0.0309000000","0.0029000000"
"Indonesia","2021","0.0195000000","0.0023000000"
"Italy","2021","0.0221000000","0.0027000000"
"Japan","2021","0.0294000000","0.0051000000"
"Mexico","2021","0.0262000000","0.0056000000"
"Netherlands","2021","0.0310000000","0.0028000000"
"Newzealand","2021","0.0259000000","0.0045000000"
"Norway","2021","0.0311000000","0.0034000000"
"Pakistan","2021","0.0276000000","0.0023000000"
